clean_tweet,sentiment_combined_final_label
@TwinsightPro in both. $ZM bought too early but still up almost 20%. have a hard limit sell there to take profits while i'm busy. :),0
$ZM 147 then 154 is next wave. I hope shorts have learnt their lesson.,2
"@Duckingmoney Need $ZM, $DIS and $CMG to tank!",0
"Took a 20% loss on $ZM #ZM put, didnt fade with rest of market. https://t.co/eeu5WeQWX0",0
"TIL sorcery exists to connect @zoom_us and @Skype, wonder what #cybersecurity security flaws/vulns may be lurking around in this connector. Connectors or not, $ZM offers only best-effort end-to-end #encryption (they can't encrypt connections from phone)

https://t.co/jrQxsyNVqy",0
$ZM CFO on CNBC https://t.co/SDJK1GZdkO Big breakthrough for the company,2
$ZM took profit. All out. over 130% gain on calls swing. That wall at 142.75 is something special.,0
If $ZM made a product like Facebook Portal - I would buy that immediately.,2
$ZM is still going up! https://t.co/YhKB48wHmx,2
$Zm 💕 https://t.co/sjOVbu18Up,2
"$ZM have a profit stop set, as it failed to retest highs so far. Haven't been stopped out yet.",2
"Adding $ZM to the watchlist. As everyone else. This will be acquired by a giant soon. Hopefully Apple to forge into business. Doesn't fit the business model, but Apple has hoarded cash for a business like $ZM",2
"Analysts are bullish on stocks like Tesla, Netflix and Zoom as earnings season gets underway $NFLX $ZM https://t.co/boDy0uNMMT",2
$ZM very cheap locate.,2
The world has changed forever. $ZM is THE winner. Maybe $FB @sherylsandberg can wake up Zuck to tell him he's gonna need one of those @insta famous acquisitions again.,2
I don't like the $ZM action #MM,0
My $ZM shirt kicked my ass yesterday....but today that got a upgrade kiss off death let's see what this pos will do today as I double down on something which may end up terrible $ZM,0
"@biz78 Yesterday I hesitated to add to my $ZM long when it closed over 135.3 resistance. My bias was influenced by media and some twits. Looks like a mistake by now. We'll see. Plan is to add if it pulls back to 135.3-138 zone
#bullish",0
I went short on $ZM at 143.00 I feel like today is the top of the market @AOTtrades,0
"If all $zm customers who pay nothing cancel because of security issues their hosting fees will collapse

#BullThesis",0
yikes! $ZM https://t.co/b2xuJg579C,0
Covered $zm. Plus $1.15 per share 😎,2
"Sold 2/2 $ZM calls 240% gain, one of my best % plays ever. played it too small but did move the needle significantly for my account that got crushed last month.",2
"that's just f-kin embarassing. exit 10c below absolute top on $ZM . trade thesis was to take advantage of morning washout: 2 days in a row closes near highs, gaps up, forms strong pm resistance around 142, breaks below vwap, entry when can't reclaim vwap over multiple tries. https://t.co/vwfsAwCYxo",0
$WORK Daily chart. Beautiful gap up this morning over key fib level ($25.4). A break and close above the 200EMA will be ideal! Watching closely. $ZM $MSFT https://t.co/65W66jQEfl,2
"Hope you saw the interview today $ZM CFO at CNBC. 

Watch to the end, #AndrewRoss asking CFO to enable his grandma to use all free 40 minutes. The dude is cheap.",1
@JAuerbach4 don’t forget the $ZM happy hours,2
"Here is just one fine little posting on Zoom $ZM, and why it is NOT safe.

https://t.co/B0NJIpbPOD",0
I can not wait to short Zoom $zm,0
Does $ZM not have a CTO or COO? Why is the CFO on tv talking about security? 🤔🤔🤔🤔🤔🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️,1
@stoolpresidente If you’re going to get killed then I’m in on $TDOC and $ZM,0
$zm popping in premarket. Just give it time. We are def going to play puts here,2
"@Rock_Rogers cfo of scam $ZM coming on CNBC-19, Stekelberg, shocking important high level meetings by recording them and then blasting them with porn but stock just goes up magically because of ""the virus""",0
$ZM Would think all these security concerns would tank the stock but has had quite the run past few trading days. https://t.co/yYOn7J8lhn,2
Zoom is up to $141 pre market this stock is about to go beast mode ! Loaded on calls $ZM,2
"@GordonBankTrade The good move, big pay off now. But I am very sceptical about COVID. Not sure what can happen. Did not expected coroutine so I am very couches about my production here. Went with $ZM cause it had the lowest correlation. 
A bit jealous for $TLSA though.",0
@ThaGreatZambino @bordersroad I was literally staring at the $ZM premarket when I read that Tweet lol,1
@AndreyGodsonn Disagree. @zoom_us with a Jewish female CFO with a background in manipulating men via dating app software... even more bullish $zm on this news. She extracted cash via digital singles,2
"@infintyprep1234 @gbarone2 @NewtonGroupSM Why do people think that $ZM and $MSFT are competitors? $ZM does not even have a file sharing now.
It's like comparing Honda and General Motors.",0
$ZM issue is fixable imo ... Bullish in the long run,2
"@larryellison - $ZM is essential for #Oracle and the World. 
Removed my sell order at 145.

One of the many testimonials just in the resent 5 days. https://t.co/v2mjXgzsUq",2
"$ZM Cantor We initiate coverage of Zoom with an Overweight rating and a 12-month price target of $150. We believe the current Covid-19 environment presents significant upside potential not currently assumed in the stock 

Really, where did the last 100 points come from? #ValueAdd",2
"@Cricket99238 $ZM is an interesting growth stock

Who is it disrupting?",2
"ZOOM is trading at a PEG ratio of 11.4 with P/S at ~51 while growing revenue at 80% CAGR. $ZM is virutally debt-free with a profitable operating margin despite strong competitors like $MSFT or $FB. #Covid19 certainly boosts revenue, but enough to legitimate such a rich valuation? https://t.co/Gg7fP7LkLw",2
$ZM will zoom higher.  Fixing issues.  The market leader. https://t.co/lPRv3NoZmp,2
"India government continue to use #Zoom  $ZM
Surprising how misleading the headlines are. And how few actually read to the end. #FearSells
https://t.co/JTUzG7o8Bd https://t.co/w2xXhPP1Nr",2
"Just for self-reflection:
$ZM
1.nope, because of InfoSec scare. Target 150-160
2.Maybe, but not ZM - see 1
3.Probably, but not ZM - see 1
4.Not for now, in 2-3 months
5.Success brings enemies
6.panik, lie 
7.lie
8.repeating, racist, lie https://t.co/gTngv035fl",0
"@rickdeaconx Lots of naive people and InfoSec who want more money.
After research, I got more $ZM at 125. 
Here are three links that convinced me the most: 
Uni Princeton: https://t.co/b5i2CfdjCr
Uni Columbia CSCO: https://t.co/iHzSTGvvSx
State of Washington: https://t.co/i3pP8DG2Pz",2
"$ZM is today ranked #4 in the Daily Gambiste Big Cap rating. Zoom Video Communications, Inc. - Class A Common  is today top rated. Check the full Gambiste long term ratings here: https://t.co/RA0LXyNU1n",2
"$SHOP, $MAG and $ZM are the top gainers for the day. https://t.co/DLd87rtR4l",2
A lot of talk about $ZM but @google_meet is making moves. #collaboration https://t.co/HxUiNss24V,0
$zm Getting Dumped On Zoom Is As Awkward As You Think  https://t.co/aUVj9jZ05P,0
Zoom $ZM back to $136 .. ATM is $165 I think this stock easily gets back to this level and takes it out . If TSLA can hit 900 a few months ago then Zoom can hit $200 . Follow the Momentum,2
"$ZM Looking good. Reminds me of the intro to the '70s kids show ZOOM.  (fixed the time start on the video)

https://t.co/iNwJFg6bZz",2
@WhiteHouse @realDonaldTrump $zm will tank! 🔨🔨🔨,0
"@sole_nyc23 That move is stupid lol

It’s $zm 2.0 lol",0
Have you ever made a profit from a stock you hate? $zm,0
"The way the stock market seemingly ignores any bad news, expect $ZM to be up another $10+ tomorrow... https://t.co/Yj4tYbzqm3",0
"$ZM  Zoom still has 'significant upside potential' - Cantor  https://t.co/sEYEqWFgk2 Cantor Fitzgerald starts Zoom Video (NASDAQ:ZM) at Overweight and a $150 target, citing the ""superior"" video conferencing product that should drive deeper market penetration.

$150 too LOW!",2
"WTF $ZM Zoom P/E over 1500
#finance #StocksToTrade #stocktwits https://t.co/snusey3dlg",0
"@NYDOUGH @WallStJesus I agree but don't forget market can stay irrational longer than you can stay liquid. I am short (small number of shares) but have a tight stop loss. I presume, I'll lose some tomorrow. It's the timing. This will be 50% down in 6 months imho. $zm",0
"Zoom $ZM settled +9.2% to $135.92.
Singapore have banned the app' for educational use on privacy/security grounds. I see the stock as s/t toxic. https://t.co/Mxd7Kh2dqy",0
@Copokerfan @firstadopter Not for companies but for individuals it is free right? Just trying to figure out the $ZM business model. I have no idea if it’s valuation is right or not.,0
"@HedgeyeComm Not shorting $WORK or $ZM yet but those stories are starting to feel played AF.  Not to mention glorified versions of what, 10 year old tech?  20?",0
"$ZM A couple more re-tests of our AI's $134 support level in the afternoon, but still managed to close at the day's highs. https://t.co/I2VEiseecS",2
It’s funny. $ZM has to stay down for these class action suits these buzzard ass attorneys filed to stand a chance. Otherwise it’s just poor risk management by the investor. Maybe the attorney scared you into selling? Sue your lawyers lol you’re fucked 🤡 https://t.co/wAFxdr9Qu4,0
"Not Good, You must instill Trust as a business partner. RT @SearchUC: NEW: New lawsuits allege #Zoom misled users and investors by falsely claiming to use a more secure method of video encryption than it does. #ucoms $zm 👉 https://t.co/ba5BuHwt9P https://t.co/0yIpP3bWue",0
Zoom still has 'significant upside potential' - Cantor $ZM #coronavirus #COVID2019 https://t.co/QS6mQsZxnf,2
"Trump exploits Eastern to forge plans on $ZM nationalization as critical infrastructure.
Stock jumps to by 6,7% 135,7. Democrats outraged. https://t.co/nXkW61BkHa https://t.co/ywXhWa7D7H",0
#Zoom IPO'd not quite a year ago around $65.  Gross profit margins in 70-80% range.  $ZM up almost 100% YTD &amp; up 9%+today.  Question?  Post pandemic will $ZM continue to thrive bringing families &amp;  businesses together....or not?? https://t.co/CAE6JF2Ill,2
@TraderBJones $tsla and $zm good shorts here ??,0
Oh wow @zoom_us $zm bigly surprised about this https://t.co/aRYzPLlX6G,2
$ZM congrats everyone this is how you do it . 🦏 https://t.co/RYO6yym9PP,2
$ZM Option Order Flow Sentiment is 64.8% Bullish. https://t.co/qwLbEjHdCB,#N/A
$ZM this momentum is awesome. And no sign up letting up. If shorts pile in this could get even crazier.  Up 102% in calls. Swinging them at least one day. We'll see what the action gives tomorrow.,2
"$ZM Started short into close, ideally get some follow-through tomorrow morning. 53x revenue, security issues abound, broad competitive offerings. Shit is crazy.",0
"iS tHiS gOoD?  $ZM h/t ⁦@tedstein⁩ 500,000 Zoom accounts sold on hacker forums, the dark web https://t.co/6qdetsV59h",0
@Duckingmoney dude why did you delete your $ZM poll? I wanted to see the update,1
$ZM seeing some upside action today.. https://t.co/9tg9wbbxl2,2
$ZM.  CONTINUES ON ITS WAY UP TO 150-160.00! Scalp some long profits on the way up! 😎Darkblue Trader!,2
$ZM I really don’t get all the bearish sentiment here on ST. It’s the brand almost everyone is using. It’s become a verb to zoom. Fundamentals are solid. They’ve handled mistakes well.,2
Congrats if you followed us on these swing Trade. We are taking $ZM much higher. Now stops move to $117. Today's Gap up is solidifying the bulls. Stay long and stay Green. https://t.co/eOqXrtdgaA,2
Amazing to see $ZM stock price action.  Can have 0.5$ tick when spreads between bid/ask is 0.1 just to take out stops,2
"LMAO, Schools in Singapore, which banned news for ""official use"", still using $ZM @smartertrader https://t.co/oxwv7rqQWi",0
"$LVGO, $ZM and $EQT are the top gainers for the day. https://t.co/DLd87rtR4l",2
$GLD calls 60% in room boom 🦏 so far $ZM $ROKU almost 200% together 💰,2
If $MSFT can get their act together with Skype and beat out $ZM (guarantee azure level of security) their stock will reach ATH in 2021. Incorporate it into their outlook for businesses is a no brainer.,2
"Zoom Video Communications $ZM is up over 80% YTD. As of Thursday's close, its share price was double our fair-value estimate of 62 dollars, and the price has continued to rise so far today. While our analysts see room for growth, they believe the current boom is unsustainable. https://t.co/7Wdb0PbksW",0
"$ZM. sold it at 136, for now.  was planning to stay longer, but too many bad elements working against me on this one lol.",0
$ZM Solid move confirming likely support! https://t.co/bppEXwWWFp,2
@Duckingmoney $ZM seems to be hitting a key resistance lvl that it can't break.  Thoughts of re-entry of puts for next week?,1
Think Or Swim is down - I'm not anticipating selling rest of $ZM calls at the moment,0
$ZM bears are scared!,2
$ZM what a run! Nearing the 137 gap fill. Big spot here..,2
"@Mindwbw @PaulHoofman @NotaBubble @VendbienJon @DoozyTrader @T_Speakeasy @daesr1 @FilmProfessor9 @Polargroup1 @chamath @CNBC Concerns now about hacking with $ZM,
is this true or unfounded?

State Dept warning consumers &amp; companies not to use it for sensitive info and that Zooms could be recorded remotely by third party

Kind of alarming if you have children, 
to know someone may be taping them",0
"Attending the April @gmcmke meeting via $ZM, initial speaker,  @GovEvers is sharing the impact of #COVID19 on Wisconsin and the specific difficulty the @cityofmilwaukee and @mkecounty is facing. We are all eager to get back to life as we know it, but for now help &amp; #StayHomeMKE",1
"$ZM Still climbing here while at the highs of the day.  Support at $134 below.

➡️ https://t.co/7wBUY6o6Rf https://t.co/iXihJ3DJvu",2
Oooh $ZM ripping the faces off of the dorks who short headlines and don’t read the articles,2
"Strange how they force you inside to hide from #ChinaVirus then this random teleconferencing app that funnels all your data 🔙 to China gets hyped 🆙 incessantly $zm

Canada 🇨🇦 &amp; Taiwan 🇹🇼 put an 🔚 to this blatant commie scam https://t.co/HRJ3H4waIW https://t.co/uaXQLrLAVp",0
"@pawan1234o @johnscharts @T66476371 $ZM, Nice breakout above 8d and 20d. NP, Calls not filled. what are your Calls again?",1
"@ashutoshmagus I agree with your point 100%
But $MSFT is a great company with Software, Games, Operating System, Cloud Solutions, UCaaS and much more. Why people compare it to $ZM, I really don't get it.",1
$SPY $ZM $GILD One of my favorite follows = @OpenOutcrier Incredible that they offer free news alerts every morning!! I highly recommend you check them out. Their posts are an essential part of my morning routine.,2
$Zm is worth $3 billion more today just cuz!,2
"@Alex__Salomon @CMicrotrend well the ""fun plays"" are in $TSLA, $ZM, and any other simulation of a ""ridiculously high-growing and/or totally going to be highly profitable company one day in the next couple of years maybe after COVID is vanquished"" investments instead of ones that may not be after this time",1
"All out with my last few.. I didn’t get a major dip I was looking for, but still got green day GL guys!!!! $ZM https://t.co/yY2nmj56zQ",2
"One of the challenges of being Microsoft. Can't give their users a satisfaction without (greedily) offering more.

This is exactly the advantage companies like Zoom have. 

Lser focus on user experience has led $ZM to increase its market cap by 100% to $35B+.
#videoconferencing https://t.co/9HUOHXPn4E",2
$ZM is day trading heaven,2
"My long play of the day was choppy but results were strong. Zoom initially bounced to $133 before falling back into channel. 

The shares dropped to $127.50 &amp; then the potent momentum run began all the way through $134. $ZM may have a high multiple but the market sure likes it.",2
"Bear Market Tip #7

Analyze short term trends. They work surprisingly well for short periods.

For example, during the past 3 weeks ""Coronavirus"" related stocks like $NFLX $ZM and $CLX show relative strength when the market is weak, and relative weakness when the market is up.",1
$ZM is the leader in the new economy that will emerge. They will need up security and may even charge a small amount which would be a game changer. Accumulating over next month,2
"Hey @AndreyGodsonn I know you’re new to Twitter but you see this guy, right? Lol him and his FBI team reporting old headlines on $ZM When you@see this kind of shit you want to be on the other side of them https://t.co/RlYhI0XNmb",0
But. But. But BANS! lol people are so dumb $ZM https://t.co/l6uQBgOe8s,0
New metrics in $ZM have traffic up bigly. 160$ before 100$. I may look to accumulate for the future. #newwayofbusiness,2
#LAUSD has approved the use of Zoom for school.  My kid now has daily zoom class. Dwell on the possibilities... $ZM #education,2
"By all means ask @jimcramer when it isn’t as easy as “read headline, short stock” Jim can you get this guy on Mad Money and go over this basic stuff, please 🤡 $ZM confuses these kids https://t.co/pmEBFKZsgN",0
"$ZM is today ranked #3 in the Daily Gambiste Big Cap rating. Zoom Video Communications, Inc. - Class A Common  is today top rated. Check the full Gambiste long term ratings here: https://t.co/RA0LXyNU1n",2
LMFAO at these headline shorts. Do they even read the fucking articles? $ZM 🤡 https://t.co/M0xBEZPFN2,0
$ZM check out the perfect bounce off of 200ma on 4hr timeframe. Swing trader's dream. https://t.co/vMmf3z8s4S,2
$ZM  love trading ZM...the first time i went thru the trades i came up with a weird low gain avg...my thought was why did i trade keep coming back to get such low gains...well i left half my trades out...LOL....  another day trading ZM,2
"Removed my minor sell order on 135 $ZM by this news. 
NYC will of cause not react so fast. https://t.co/9rozKX4ZDg",1
"@34Act @thehill @Necio_news @Reuters 4/x Per @thehill 1/x quoting @Reuters $zm was banned in #Singapore after a series of over “serious incidents...One incident involved obscene images appearing on screens and strange men making lewd comments during the streaming of a geography lesson with teenage girls, media said",0
"@34Act @thehill @Necio_news @Reuters 3/x Outrageous that they can’t get work zoom correct, but it is the lowest form of opportunism, to do this to children. —#Zoom, $zm #cybersecurity is a box of chocolates, you never know what you are going to get, but it will NOT be #privacy, nor transparency of security protocol",0
"@34Act @thehill @Necio_news 1/x This is deplorable! $Zm has single handedly slowed dist. education in any non-emergent situation. $zm ‘s cybersecurity is a dumpster fire of exponential disaster.
“Officials at Berkeley High School in California said they suspended use of the app after a “naked adult male...”",0
"$ZM broke down, showing heaviness, showing short.",0
$ZM entered calls for swing. Too much bullish activity all around - from users to rumors to price action to chart....it's all there for me. Looking for $150 again.,2
"Impressed by how nimble Singapore is ""Singapore schools to resume use of Zoom for home-based learning with additional safeguards in place"" $ZM https://t.co/KO470HM4Kz",2
$ZM another one Bam bam 💥💥💥🦏 https://t.co/jRlqAWNafS,2
@jfahmy Because Zoom $ZM CEO is having someone prop up the stock so he can dump to retail investors. April 7th he sold at $110.... April 8th he dumped at $125.... attention to detail https://t.co/wtwoiT028t,0
@ColdBloodShill I had to Google what is $ZM (ZOOM VIDEO CHAT) lots of people scam lots of money by phishing using this app. Security vulnerabilities made people in Spain get scared about zoom. Just comment.,0
$ZM inverse HS could point to another 10 points higher here,2
"Im strange, misunderstood, grumpy, basic and hard to understand but Im good for this  $DOCU $TDOC $ZM https://t.co/rQPxGGgrcj",1
$ZM Zoom Zoom...What an over the weekend trade 🤑,2
"$ZM so many Zoom parties over the weekend. In the future, there will be so many more. While $GOOGL busy dumping on them, $FB better acquire them soon.",2
$ZM squeezing nicely to the upside.,2
"CCP Zoom $ZM 
Irreparable brand damage trading at 1700x PE!
WFH ending in a few days!
https://t.co/Zfzfq6VQS7",0
$ZM can run... so much bad news last week and they couldn't break it.. Can easily go back to highs.  Will be earnings winner.,2
"Here's a solid overview of Zoom's security improvements 

I commend @zoom_us, they are trying to be better 

#cybersecurity #startup #infosec #zoom $zm

https://t.co/an8JvVFJ7A",2
"Just a reminder that $ZM - a terrible video chat platform is valued at $35 billion.

It has a sea of competition.",0
"$ZM BEAR SIGNAL 1TARGET $100, 2 TARGET $80 Singapore halted the use of Zoom Video Communications Inc.’s video-conferencing application for home-based school education following reports of hackers breaching some of the sessi... https://t.co/uQNk2eVOtI https://t.co/r6u5TTQT2z",0
"$ZM
Bad press recently but I'm still more bullish than most on it. 

Gap to fill from 133.54-135.18
If it can get over 127 then its not much resistance to hit gap. Maybe a little bit at 129

B/O: 127.5
PT: 133-135 https://t.co/p50f3SpVrn",2
"$zm : I still think it’s way over valued, but the stock has too much momentum. I should have cut off at 123, but now I’ll roll into the 5/1 105s after it pops a bit more.",0
@AndreyGodsonn @GordonBankTrade @investingwbrady Just saying I don’t see anything aside from promoting $ZM.,1
"$ZM
1.stock overbought trading 51X revs
2.corona stock plays have reached apex
3.overall mkt overbought
4.ftc probes coming
5.banned by Google
6.easily hacked...for sale or dark web
7.insiders selling
8. Google banned due to China security disaster https://t.co/bVASjhZU2B",0
"$TSLA still acting well ... Of course, it will be front and center for me again today ... 

I am sure that at some point $ZM will come into the picture ....

𝑳𝒐𝒏𝒈 𝑻𝒆𝒓𝒎 𝑳𝒆𝒗𝒆𝒍𝒔

750

𝟲𝟮𝟱

500

There are a lot of moving parts in between the above numbers

$SPY https://t.co/4dYDtqBFsp",2
"@Michael__Devlin @bgurley @zoom_us @otter_ai $ZM has its own native live transcription in Beta. They demonstrated it Live in one of their webinars. 
                Worked flawlessly.",2
Senators told to avoid using Zoom $ZM #coronavirus #COVID2019 https://t.co/f21U7tjX5I,0
"$ZM a very well sought out article analysing @zoom_us from the Business, IT, Marketing and UX. 

positive/negative

Much new information discovered https://t.co/tZgSuiURkq",1
"Good to know someone (@billgurley 😎) shares my stupid opinions 🤓
$ZM https://t.co/GvfCe9wjQO",2
"Some people will make easy money. $ZM
This session was taken in less than a week. @ericsyuan you are an iron-balls-ceo. Greeting to your mom btw 😂🙆‍♀️ https://t.co/Ip3vWLNN5q",2
"really surprising how ignorant some people are to basic security. 
And they want these people to install jitsi on a cloud server...
Or ""make an account"".
$ZM https://t.co/hpN6jDEpnL",0
"$ZM is today ranked #2 in the Daily Gambiste Big Cap rating. Zoom Video Communications, Inc. - Class A Common  is today top rated. Check the full Gambiste long term ratings here: https://t.co/RA0LXyNU1n",2
"@andyrao316 Do you mean, the global market it tanking too?
In that case $ZM will tank the same day as well. In my observations, it follows for a day drops in SP",0
"@emcilveen @billmiston If you give a $ZM link to the public and they can click the link and log in, that isn’t hacking and that isn’t a security flaw. That’s a dumb shit setting up a meeting. “Hackers” and “Serious security concerns” = your mother’s interpretation. You’re shorting for that? LMFAO @ you",0
@CorwinTweets Yah I am 90% a contrarian trader. I like to sit with cash and wait for silly sell offs. $ZM started as a real concern but the headline short guys are way wrong on this. Valuation and PE talk doesn’t account for monetization. No one is accounting for new users since the 200 mil #,2
"$ZM: Nice bounce off demand zone @ $108.50, could see this keep pushing up toward 134.75 (purple bar), and if thru then into supply at $153-162 before coming back down to demand. https://t.co/clq9mllFWe",2
$ZM shout out to @Eroswole_ for bringing $ZM too my attention a couple weeks back now...analysis on chart https://t.co/3UZhQqSHT6,2
"@illiniry Sure, sounds like a great idea. Or, wait, weren’t some manufacturers of models with built-in cameras caught spying on people? $ZM",1
$MSFT 165 Skype's Meet Now is a free alternative to $ZM. https://t.co/BIIXp2QS5D,0
$ZM insiders dumping trading 51x rev chart sux overall mkt overbought Google banned massive security concerns probes etc https://t.co/ZBeKRU8Lmf,0
"Another security failure for $ZM over the weekend....security is everything...current evaluation on the shipwreck is out of whack SHORT
https://t.co/mF2eQpFAKV",0
Listened to a couple of interviews with @ericyuan  via @themotleyfool and @TomGardnerFool.  About as genuine as they come.  This set back will only improve the company and all@if it’s users. Long $ZM https://t.co/dYfDSRKv65,2
"@7AustinL Under for $ZM 

Reason: 
short term - negative sentiment with security concern, multiple usage bans
long term - tough to meet expected growth at current p/e",0
$ZM stock is going way the f lower. Chinese spyware that’s gonna lose a lot of US entreprise customers quickly. https://t.co/Z6zAvEfIty,0
Coronavirus has cost more than 16 million people in the U.S. their jobs. We talk to three of them about life during the shutdown. $ZM $WFC #coronavirus #COVID2019 https://t.co/j1ByJVHHui,0
"$zm I still think this is god awful expensive and will eventually crash. For now, depending on what we see on Monday, I might be rolling to the following weeks 105s",0
"$ZM Just tried to join a Zoom meeting with a link.  Failed.  Tried to enter the meeting ID. Failed.  Tried to phone in.  Failed.  Can't enter a complex password on the phone.  And, I'm not going to download their app.  Nope.  Overall, failed.",0
#Coronavirus: #Teachers in #Singapore stop using #Zoom after '#lewd' #incidents. https://t.co/fwobPBeW1L #coronavirus #schools #Asia #Zoombombing #zoomclass #zoommeeting #Students #children #covid19 $zm #zoomvideocommunications @zoom_us #onlinelearning 🦠🇸🇬👩‍💻👨‍💻,0
"It might be a tough week for $ZM , a tonne of lawsuits filed against them ..",0
Coronavirus Cost Them Their Jobs. How 3 Are Getting By. $ZM $WFC #coronavirus #COVID2019 https://t.co/j1ByJVHHui,0
"@LSValue Lolz.. winners from quarantine.
Even $ZM will have terrible margins, and the multiple will be nosebleeds.",0
"@7AustinL Over for $ayx, under for $zm. I just can’t stomach the bull case for the latter",0
"$ZM this name has been strong off the 50 EMA. Bouncing off negative news though, over 130 puts this back on radar for a long idea. Under 110 we short https://t.co/l3nGYtNiVC",2
"@hi_hat I don't see $ZM is not a competitor to $WORK, at least not like Teams or $RNG. Why do you think so?",1
@NextDayTrade Looks like we both are watching same ... from my side only $ZM $TSLA,1
"$ZM Zoom became Saturday Night Live’s breakout star in historic all digital, remote episode  https://t.co/ycby6Y32gs",2
"$ZM is today ranked #3 in the Daily Gambiste Big Cap rating. Zoom Video Communications, Inc. - Class A Common  is today top rated. Check the full Gambiste long term ratings here: https://t.co/RA0LXyNU1n",2
"@smartertrader Why soo hot and heavy on $ZM Sam? Just another name, we shouldn’t just dismiss the security &amp; privacy concerns being raised. If majority of the users are non paying customers then ZM shouldn’t be flying high.",0
"$ZM Strong bounce on bad news to the 8 and 21D, not sure why. 50D has proven strong support range bound play it or wait for a break 

https://t.co/MPsCXRGbmc",1
"This is great news for Tesla! They continue to ditch the stealership model. Order online and go get your own car! Service centers will soon be a thing of the past when you can use zoom to call a tech and fix the car yourself, from anywhere! $TSLA $ZM https://t.co/FAn7nW2lnw",2
"@smartertrader I downloaded today and chatted with a buddy in locked up Dubai. Surprisingly, $ZM is working in Dubai where they have banned Skype, What’s app, FaceTime, Facebook Messenger and pretty much everything else.",2
@HBDouglas @langstonlov @AndreyGodsonn @playsmart9 @Gambiste1 @WallStSai Completely agree w you. Often the people who make ad hominem attacks on Twitter are insecure individuals. The “street smart” read on $ZM is that it’s a Chinese spyware scam that US enterprise users are just figuring out. Going way lower!,0
@bridgeman07 Zoom has gone from 10mm to 200mm users in record time . That’s huge . Big banks like JPM and MS using zoom . Even last night Saturday Night Live used $ZM !,2
"@golfer319 I contract into one of the big banks, we switched to $ZM from Jabber literally over a weekend about a month ago.  It's several orders better than Jabber.  There is no way I could imagine going back to Jabber.  But, there is always the possibility of contract consolidation to MSFT",2
